Name,Address,Category,Original Address,Import Note,MainCategory,Quarter
Hamburg-Hammerbrook,"Hamburg-Hammerbrook, Hamburg, Germany",Quartier / photo urbaine,No address found,Adresse reconstruite à partir du nom du lieu; vérifier le point après import.,Quartiers & ambiances,Hammerbrook
FABRIK Hamburg,"Barnerstraße 36, 22765 Altona, Germany",Culture / lieu alternatif,"Barnerstraße 36, 22765 Altona, Allemagne",,Culture & musées,Altona & Fischmarkt
Kampnagel,"Jarrestraße 20, 22303 Hamburg-Nord, Germany",Culture / architecture,"Jarrestraße 20, 22303 Hamburg-Nord, Allemagne",,Culture & musées,Barmbek & City Nord
Car Museum Prototyp,"Shanghaiallee 7, 20457 Hamburg, Germany",Auto / musée,"Shanghaiallee 7, 20457 Hamburg, Allemagne",,Auto & insolite,HafenCity & Speicherstadt
Oldtimer Tankstelle,"Billhorner Röhrendamm 4, 20539 Hamburg, Germany",Auto / lieu insolite,"Billhorner Röhrendamm 4, 20539 Hamburg, Allemagne",,Auto & insolite,Est du port
Isemarkt,"Isestraße 1-73, 20144 Eimsbüttel, Germany",Marché / gastronomie,"Isestraße 1-73, 20144 Eimsbüttel, Allemagne",,Marchés & brocantes,Schanze & Eimsbüttel
Fisch & So,"Große Elbstraße 117, 22767 Altona, Germany",Gastronomie / poisson,"Große Elbstraße 117, 22767 Altona, Allemagne",,Manger & boire,Altona & Fischmarkt
Atlantik Fisch & BistrOceaN,"Große Elbstraße 139, 22767 Altona, Germany",Gastronomie / poisson,"Große Elbstraße 139, 22767 Altona, Allemagne",,Manger & boire,Altona & Fischmarkt
Große Elbstraße,"Große Elbstraße, Hamburg, Germany",Quartier / port / photo,No address (panel appeared but no data),Adresse reconstruite à partir du nom du lieu; vérifier le point après import.,Quartiers & ambiances,Altona & Fischmarkt
MUTTERLAND City,"Poststraße 14-16, 20354 Hamburg, Germany",Épicerie / produits locaux,"Poststraße 14-16, 20354 Hamburg, Allemagne",,Manger & boire,Centre
Speicherstadt Coffee Roastery,"Kehrwieder 5, 20457 Hamburg, Germany",Café,"Kehrwieder 5, 20457 Hamburg, Allemagne",,Cafés,HafenCity & Speicherstadt
Hobenköök Restaurant & Markthalle,"Stockmeyerstraße 43, 20457 Hamburg, Germany",Gastronomie / marché,"Stockmeyerstraße 43, 20457 Hamburg, Allemagne",,Manger & boire,HafenCity & Speicherstadt
Dat Backhus,"Harburg-Arcaden Straße 39, 21073 Hamburg, Germany",Boulangerie / snack,"Harburg-Arcaden Straße 39, 21073 Hamburg, Allemagne",,Cafés,Harburg
Edeka Niemerszein on sand,"Sand 31, 21073 Harburg, Germany",Courses / alimentation,"Sand 31, 21073 Harburg, Allemagne",,Manger & boire,Harburg
Wochenmarkt Harburg,"Sand 37, 21073 Harburg, Germany",Marché / gastronomie,"Sand 37, 21073 Harburg, Allemagne",,Marchés & brocantes,Harburg
Alte Harburger Elbbrücke,"Alte Harburger Elbbrücke, 21079 Harburg, Germany",Architecture / pont / photo,"Alte Harburger Elbbrücke, 21079 Harburg, Allemagne",,Architecture & photo,Harburg
Binnenhafen,"Harburger Schloßstraße 9, 21079 Harburg, Germany",Quartier / port / photo,"Harburger Schloßstraße 9, 21079 Harburg, Allemagne",,Quartiers & ambiances,Harburg
Park Fiction,"Schauermanns Park, Pinnasberg 27, 20359 Altona, Germany",Parc / vue / photo,"Schauermanns Park, Pinnasberg 27, 20359 Altona, Allemagne",,Quartiers & ambiances,Altona & Fischmarkt
Pont de Köhlbrand,"Köhlbrandbrücke, 21129 Hamburg, Germany",Architecture / pont / photo,"Köhlbrandbrücke, 21129 Hamburg, Allemagne",,Architecture & photo,Port & Köhlbrand
City Nord,"City Nord, Hamburg, Germany",Architecture / photo,No address (panel appeared but no data),Adresse reconstruite à partir du nom du lieu; vérifier le point après import.,Architecture & photo,Barmbek & City Nord
Oberhafen,"Oberhafen, Hamburg, Germany",Quartier / architecture / photo,No address found,Adresse reconstruite à partir du nom du lieu; vérifier le point après import.,Quartiers & ambiances,HafenCity & Speicherstadt
Ericusspitze,"Ericusspitze, Hamburg, Germany",Architecture / photo,No address found,Adresse reconstruite à partir du nom du lieu; vérifier le point après import.,Architecture & photo,HafenCity & Speicherstadt
HafenCity Universität,"20457 Hamburg, Germany",Architecture / station / photo,"20457 Hamburg, Allemagne",,Architecture & photo,HafenCity & Speicherstadt
Université HafenCity Hambourg,"Henning-Voscherau-Platz 1, 20457 Hamburg, Germany",Architecture,"Henning-Voscherau-Platz 1, 20457 Hamburg, Allemagne",,Architecture & photo,HafenCity & Speicherstadt
Hamburg BUNKER,"Feldstraße 66/5. Stock, 20359 Hamburg, Germany",Architecture / vue / culture,"Feldstraße 66/5. Stock, 20359 Hamburg, Allemagne",,Culture & musées,St. Pauli
Alsterarkaden,"Alsterarkaden 10, 20354 Hamburg, Germany",Architecture / centre-ville,"Alsterarkaden 10, 20354 Hamburg, Allemagne",,Architecture & photo,Centre
Miniatur Wunderland,"Kehrwieder 2/Block D, 20457 Hamburg, Germany",Musée / attraction,"Kehrwieder 2/Block D, 20457 Hamburg, Allemagne",,Culture & musées,HafenCity & Speicherstadt
Marshall Street Coffee,"Schopenstehl 30, 20095 Hamburg, Germany",Café,"Schopenstehl 30, 20095 Hamburg, Allemagne",,Cafés,Centre
Playground Coffee St. Pauli,"Detlev-Bremer-Straße 21, 20359 Hamburg, Germany",Café,"Detlev-Bremer-Straße 21, 20359 Hamburg, Allemagne",,Cafés,St. Pauli
Nord Coast Coffee Roastery,"Deichstraße 9, 20459 Hamburg, Germany",Café,"Deichstraße 9, 20459 Hamburg, Allemagne",,Cafés,Centre
Public Coffee Roasters,"Wexstraße 28, 20355 Hamburg, Germany",Café,"Wexstraße 28, 20355 Hamburg, Allemagne",,Cafés,Centre
Public Coffee Roasters,"Poststraße 12, 20354 Hamburg, Germany",Café,"Poststraße 12, 20354 Hamburg, Allemagne",,Cafés,Centre
m&k markt & kultur Veranststaltungs GmbH - Marktbüro,"Wendenstraße 333, Innenhof 1. OG, 20537 Hamburg, Germany",Marché / événement,"Wendenstraße 333, Innenhof 1. OG, 20537 Hamburg, Allemagne",,Architecture & photo,Est du port
Elbtunnel-Bohrkopf (T.R.U.D.E. = Tief runter unter die Elbe),"22305 Hamburg-Nord, Germany",Industriel / insolite / photo,"22305 Hamburg-Nord, Allemagne",,Architecture & photo,Barmbek & City Nord
Kulturflohmarkt Museum der Arbeit,"Wiesendamm 3, 22305 Hamburg-Nord, Germany",Marché aux puces,"Wiesendamm 3, 22305 Hamburg-Nord, Allemagne",,Marchés & brocantes,Barmbek & City Nord
Flohmarkt Flohschanze,"Neuer Kamp 30, 20357 Altona, Germany",Marché aux puces,"Neuer Kamp 30, 20357 Altona, Allemagne",,Marchés & brocantes,Schanze & Eimsbüttel
Reeperbahn,"Reeperbahn, Hamburg, Germany",Quartier / nightlife / photo,No address (panel appeared but no data),Adresse reconstruite à partir du nom du lieu; vérifier le point après import.,Quartiers & ambiances,St. Pauli
Heiligengeistfeld,"Heiligengeistfeld 1, 20359 Hamburg, Germany",Espace urbain / événement,"Heiligengeistfeld 1, 20359 Hamburg, Allemagne",,Quartiers & ambiances,St. Pauli
Messe-Eingang Süd,"20355 Hamburg, Germany",Repère / salon,"20355 Hamburg, Allemagne",,Quartiers & ambiances,Centre
Ratsherrn Pilsener,"Lagerstraße 30a, 20357 Altona, Germany",Brasserie / gastronomie,"Lagerstraße 30a, 20357 Altona, Allemagne",,Manger & boire,Schanze & Eimsbüttel
Fischmarkt Hamburg Altona,"Fischmarkt 2, 22767 Altona, Germany",Marché / gastronomie,"Fischmarkt 2, 22767 Altona, Allemagne",,Marchés & brocantes,Altona & Fischmarkt
Altes Lotsenhaus,"20457 Hamburg, Germany",Architecture / port / photo,"20457 Hamburg, Allemagne",,Architecture & photo,HafenCity & Speicherstadt
Überseequartier,"20457 Hamburg, Germany",Architecture / quartier / photo,"20457 Hambourg, Allemagne",,Quartiers & ambiances,HafenCity & Speicherstadt
Musical Boulevard Hamburg,"Norderelbstraße 8, 20457 Hamburg, Germany",Architecture / rive / photo,"Norderelbstraße 8, 20457 Hamburg, Allemagne",,Architecture & photo,HafenCity & Speicherstadt
Vieux tunnel sous l'Elbe,"Bei den St. Pauli-Landungsbrücken, 20359 Hamburg, Germany",Architecture / infrastructure / photo,"Bei den St. Pauli-Landungsbrücken, 20359 Hamburg, Allemagne",,Architecture & photo,St. Pauli
Hard Rock Cafe Hamburg,"Bei den St. Pauli-Landungsbrücken 5, 20359 Hamburg, Germany",Bar / restaurant,"Bei den St. Pauli-Landungsbrücken 5, 20359 Hamburg, Allemagne",,Manger & boire,St. Pauli
Hamburg Hauptbahnhof,"Hachmannplatz 16, 20099 Hamburg, Germany",Gare / architecture / photo,"Hachmannplatz 16, 20099 Hamburg, Allemagne",,Architecture & photo,Centre
Landzunge,"Reginenstraße 13, 20539 Hamburg, Germany",Vue / port / photo,"Reginenstraße 13, 20539 Hamburg, Allemagne",,Quartiers & ambiances,Est du port
Elbbrücken,"20457 Hamburg, Germany",Architecture / station / photo,"20457 Hambourg, Allemagne",,Architecture & photo,HafenCity & Speicherstadt
Elbbrücken,"20539 Hamburg, Germany",Architecture / station / photo,"20539 Hambourg, Allemagne",,Architecture & photo,Est du port
Lighthouse Zero,"20457 Hamburg, Germany",Architecture / art / photo,"20457 Hamburg, Allemagne",,Architecture & photo,HafenCity & Speicherstadt
Baakenhafen,"20457 Hamburg, Germany",Quartier / architecture / photo,"20457 Hambourg, Allemagne",,Quartiers & ambiances,HafenCity & Speicherstadt
HafenCity,"HafenCity, Hamburg, Germany",Quartier / architecture / photo,No address (panel appeared but no data),Adresse reconstruite à partir du nom du lieu; vérifier le point après import.,Quartiers & ambiances,HafenCity & Speicherstadt
Chilehaus,"Chilehaus, Hamburg, Germany",Architecture / photo,No address found,Adresse reconstruite à partir du nom du lieu; vérifier le point après import.,Architecture & photo,Centre
Fleetschlösschen by Daniel Wischer,"Brooktorkai 17, 20457 Hamburg, Germany",Restaurant / architecture,"Brooktorkai 17, 20457 Hamburg, Allemagne",,Manger & boire,HafenCity & Speicherstadt
