Name,Address,Category,Original Address,Import Note
Hamburg-Hammerbrook,"Hamburg-Hammerbrook, Hamburg, Germany",Quartier / photo urbaine,No address found,Adresse reconstruite à partir du nom du lieu; vérifier le point après import.
FABRIK Hamburg,"Barnerstraße 36, 22765 Altona, Germany",Culture / lieu alternatif,"Barnerstraße 36, 22765 Altona, Allemagne",
Kampnagel,"Jarrestraße 20, 22303 Hamburg-Nord, Germany",Culture / architecture,"Jarrestraße 20, 22303 Hamburg-Nord, Allemagne",
Car Museum Prototyp,"Shanghaiallee 7, 20457 Hamburg, Germany",Auto / musée,"Shanghaiallee 7, 20457 Hamburg, Allemagne",
Oldtimer Tankstelle,"Billhorner Röhrendamm 4, 20539 Hamburg, Germany",Auto / lieu insolite,"Billhorner Röhrendamm 4, 20539 Hamburg, Allemagne",
Isemarkt,"Isestraße 1-73, 20144 Eimsbüttel, Germany",Marché / gastronomie,"Isestraße 1-73, 20144 Eimsbüttel, Allemagne",
Fisch & So,"Große Elbstraße 117, 22767 Altona, Germany",Gastronomie / poisson,"Große Elbstraße 117, 22767 Altona, Allemagne",
Atlantik Fisch & BistrOceaN,"Große Elbstraße 139, 22767 Altona, Germany",Gastronomie / poisson,"Große Elbstraße 139, 22767 Altona, Allemagne",
Große Elbstraße,"Große Elbstraße, Hamburg, Germany",Quartier / port / photo,No address (panel appeared but no data),Adresse reconstruite à partir du nom du lieu; vérifier le point après import.
MUTTERLAND City,"Poststraße 14-16, 20354 Hamburg, Germany",Épicerie / produits locaux,"Poststraße 14-16, 20354 Hamburg, Allemagne",
Speicherstadt Coffee Roastery,"Kehrwieder 5, 20457 Hamburg, Germany",Café,"Kehrwieder 5, 20457 Hamburg, Allemagne",
Hobenköök Restaurant & Markthalle,"Stockmeyerstraße 43, 20457 Hamburg, Germany",Gastronomie / marché,"Stockmeyerstraße 43, 20457 Hamburg, Allemagne",
Dat Backhus,"Harburg-Arcaden Straße 39, 21073 Hamburg, Germany",Boulangerie / snack,"Harburg-Arcaden Straße 39, 21073 Hamburg, Allemagne",
Edeka Niemerszein on sand,"Sand 31, 21073 Harburg, Germany",Courses / alimentation,"Sand 31, 21073 Harburg, Allemagne",
Wochenmarkt Harburg,"Sand 37, 21073 Harburg, Germany",Marché / gastronomie,"Sand 37, 21073 Harburg, Allemagne",
Alte Harburger Elbbrücke,"Alte Harburger Elbbrücke, 21079 Harburg, Germany",Architecture / pont / photo,"Alte Harburger Elbbrücke, 21079 Harburg, Allemagne",
Binnenhafen,"Harburger Schloßstraße 9, 21079 Harburg, Germany",Quartier / port / photo,"Harburger Schloßstraße 9, 21079 Harburg, Allemagne",
